TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Vehicle,2003,12,25,10,00,10XX E 20TH AVE,Kensington-Cedar Cottage,493993.18,5455545.69
Break and Enter Residential/Other,2003,01,18,22,00,4XX W 19TH AVE,Riley Park,491673.55,5455688.09
Break and Enter Residential/Other,2003,12,01,11,30,18XX E 37TH AVE,Kensington-Cedar Cottage,495054.0,5453768.84
Mischief,2003,03,17,16,00,24XX W BROADWAY AVE,Kitsilano,488343.24,5456814.76
Theft from Vehicle,2003,10,30,19,00,59XX BALSAM ST,Kerrisdale,488243.05,5453292.47
Theft from Vehicle,2003,03,16,08,00,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft from Vehicle,2003,02,04,12,34,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft of Vehicle,2003,11,16,01,00,5XX E 58TH AVE,Sunset,493137.92,5451608.06
Offence Against a Person,2003,10,09,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,01,23,15,00,10XX E 20TH AVE,Kensington-Cedar Cottage,493931.19,5455556.24
Mischief,2003,03,20,17,00,24XX W BROADWAY AVE,Kitsilano,488343.24,5456814.76
Offence Against a Person,2003,02,07,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,09,12,04,00,8XX W 17TH AVE,South Cambie,491001.73,5455937.38
Offence Against a Person,2003,02,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,07,09,18,15,18XX E 3RD AVE,Grandview-Woodland,495078.19,5457221.38
Break and Enter Residential/Other,2003,04,19,18,00,18XX E 3RD AVE,Grandview-Woodland,495093.69,5457230.31
Mischief,2003,11,28,21,30,5XX E 59TH AVE,Sunset,493232.34,5451529.9
Break and Enter Residential/Other,2003,05,11,17,00,33XX QUEENS AVE,Renfrew-Collingwood,497584.81,5454146.36
Break and Enter Residential/Other,2003,09,24,18,30,18XX E 3RD AVE,Grandview-Woodland,495103.82,5457221.02
Theft from Vehicle,2003,07,11,23,00,10XX BIDWELL ST,West End,490032.08,5459511.02
Theft from Vehicle,2003,09,20,21,00,2XX E 14TH AVE,Mount Pleasant,492713.45,5456189.18
Theft of Vehicle,2003,08,13,19,30,10XX E 18TH AVE,Kensington-Cedar Cottage,493917.86,5455748.37
Break and Enter Residential/Other,2003,11,25,14,40,33XX QUEENS AVE,Renfrew-Collingwood,497593.18,5454151.86
Theft of Vehicle,2003,12,07,04,32,5XX E 58TH AVE,Sunset,493054.03,5451601.33
Theft of Vehicle,2003,05,27,12,00,10XX E 18TH AVE,Kensington-Cedar Cottage,493917.86,5455748.37
Break and Enter Residential/Other,2003,10,21,10,00,18XX E 3RD AVE,Grandview-Woodland,495119.32,5457229.95
Theft from Vehicle,2003,10,19,16,00,59XX BALSAM ST,Kerrisdale,488243.05,5453292.47
Theft of Vehicle,2003,06,21,03,00,5XX E 58TH AVE,Sunset,493054.03,5451601.33
Theft from Vehicle,2003,04,02,00,00,53XX ARGYLE ST,Kensington-Cedar Cottage,494807.64,5453767.27
Theft from Vehicle,2003,05,22,19,00,40XX W 40TH AVE,Dunbar-Southlands,485886.58,5453662.95
Theft of Vehicle,2003,01,03,17,00,5XX E 55TH AVE,Sunset,493096.44,5451914.98
Theft from Vehicle,2003,05,23,01,00,40XX W 40TH AVE,Dunbar-Southlands,485886.58,5453662.95
Theft from Vehicle,2003,02,10,23,50,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Theft from Vehicle,2003,01,30,16,00,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft from Vehicle,2003,01,19,21,43,2XX E 14TH AVE,Mount Pleasant,492815.65,5456177.71
Theft from Vehicle,2003,03,24,17,30,4XX KEEFER ST,Strathcona,493160.94,5458513.13
Theft from Vehicle,2003,01,25,20,30,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Offence Against a Person,2003,06,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,06,04,22,00,40XX W 40TH AVE,Dunbar-Southlands,485886.58,5453662.95
Theft from Vehicle,2003,10,27,18,00,40XX W 40TH AVE,Dunbar-Southlands,485886.58,5453662.95
Theft of Vehicle,2003,02,08,22,30,5XX E 53RD AVE,Sunset,493153.31,5452112.2
Theft of Vehicle,2003,01,09,18,00,5XX E 53RD AVE,Sunset,493153.31,5452112.2
Theft from Vehicle,2003,02,15,08,00,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Break and Enter Residential/Other,2003,01,15,05,00,7X W HASTINGS ST,Central Business District,492259.04,5458790.56
Break and Enter Commercial,2003,05,14,01,00,10XX BARCLAY ST,West End,490848.24,5458858.33
Theft from Vehicle,2003,01,19,08,01,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft of Vehicle,2003,08,19,21,00,10XX E 16TH AVE,Kensington-Cedar Cottage,493923.48,5455950.03
Theft from Vehicle,2003,11,15,18,00,63XX COLUMBIA ST,Oakridge,491930.0,5452695.91
Theft from Vehicle,2003,10,01,18,21,11XX PACIFIC BLVD,Central Business District,491249.43,5457973.37
Theft of Vehicle,2003,02,21,22,00,10XX E 16TH AVE,Kensington-Cedar Cottage,493923.48,5455950.03
Mischief,2003,02,18,17,00,36XX E 1ST AVE,Hastings-Sunrise,498168.5,5457398.29
Break and Enter Commercial,2003,12,25,05,55,10XX BEACH AVE,West End,490227.22,5458210.38
Theft from Vehicle,2003,01,13,18,50,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Offence Against a Person,2003,03,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,08,09,10,00,7XX THURLOW ST,West End,490967.29,5459155.06
Break and Enter Residential/Other,2003,12,01,10,00,33XX ROSEMONT DR,Killarney,497360.06,5451435.73
Theft from Vehicle,2003,07,12,13,30,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,06,21,19,00,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,12,19,23,30,SEYMOUR ST / W HASTINGS ST,Central Business District,491792.62,5459107.6
Break and Enter Residential/Other,2003,09,19,00,00,4XX W 19TH AVE,Riley Park,491791.63,5455693.11
Theft of Vehicle,2003,12,29,19,00,10XX E 14TH AVE,Mount Pleasant,494016.48,5456119.08
Theft from Vehicle,2003,10,12,00,00,SEYMOUR ST / W HASTINGS ST,Central Business District,491792.62,5459107.6
Theft from Vehicle,2003,06,12,08,10,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,02,24,09,00,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,01,13,11,00,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft from Vehicle,2003,01,12,00,10,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft from Vehicle,2003,01,05,00,30,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft from Vehicle,2003,01,03,20,00,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Theft from Vehicle,2003,03,05,09,00,33XX GRANDVIEW HWY,Renfrew-Collingwood,497651.19,5456156.74
Theft from Vehicle,2003,02,05,17,45,7XX THURLOW ST,West End,490967.29,5459155.06
Theft of Vehicle,2003,06,06,23,50,10XX E 14TH AVE,Mount Pleasant,493940.51,5456119.93
Theft from Vehicle,2003,01,30,23,00,7XX THURLOW ST,West End,490967.29,5459155.06
Break and Enter Residential/Other,2003,07,08,21,00,4XX W 20TH AVE,Riley Park,491654.08,5455590.25
Break and Enter Residential/Other,2003,11,10,08,00,18XX E 53RD AVE,Victoria-Fraserview,495015.78,5452123.25
Theft from Vehicle,2003,11,29,21,45,5XX RICHARDS ST,Central Business District,491774.21,5458957.6
Theft from Vehicle,2003,08,27,22,00,SEYMOUR ST / W HASTINGS ST,Central Business District,491792.62,5459107.6
Offence Against a Person,2003,07,17,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,01,12,13,15,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,01,09,02,00,7XX THURLOW ST,West End,490967.29,5459155.06
Mischief,2003,12,23,05,40,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41
Mischief,2003,10,09,22,28,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41
Theft from Vehicle,2003,01,04,20,15,7XX THURLOW ST,West End,490967.29,5459155.06
Mischief,2003,09,21,03,30,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41
Mischief,2003,07,28,23,48,E 57TH AVE / KNIGHT ST,Sunset,494388.76,5451707.89
Mischief,2003,01,16,08,00,34XX WALLACE ST,Dunbar-Southlands,486111.66,5455977.07
Mischief,2003,08,02,01,00,10XX ROBSON ST,West End,490932.81,5459082.94
Offence Against a Person,2003,03,06,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,01,30,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,07,01,17,00,SEYMOUR ST / W HASTINGS ST,Central Business District,491792.62,5459107.6
Theft of Vehicle,2003,01,17,23,00,5XX E 44TH AVE,Sunset,493170.56,5453039.4
Break and Enter Commercial,2003,11,02,18,30,10XX BEACH AVE,Central Business District,490252.38,5458162.72
Mischief,2003,02,03,00,15,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41
Mischief,2003,01,03,11,30,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41
Mischief,2003,01,06,15,30,E 57TH AVE / KNIGHT ST,Sunset,494388.76,5451707.89
Theft from Vehicle,2003,02,03,22,00,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Mischief,2003,07,01,21,00,24XX W KING EDWARD AVE,Arbutus Ridge,488331.57,5455172.75
Theft of Vehicle,2003,03,24,18,00,10XX E 12TH AVE,Mount Pleasant,494021.2,5456322.49
Theft from Vehicle,2003,07,18,08,40,11XX PACIFIC BLVD,Central Business District,491249.43,5457973.37
Theft from Vehicle,2003,05,15,22,00,11XX PACIFIC BLVD,Central Business District,491249.43,5457973.37
Break and Enter Residential/Other,2003,05,25,16,30,76XX MANITOBA ST,Marpole,491996.1,5451432.79
Break and Enter Residential/Other,2003,11,03,12,00,6XX W 7TH AVE,Fairview,491367.62,5456921.79
Theft from Vehicle,2003,03,02,18,00,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Break and Enter Residential/Other,2003,06,06,06,30,5XX W 29TH AVE,South Cambie,491449.52,5454717.56
Offence Against a Person,2003,07,23,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,08,26,07,40,33XX SEAFORTH DR,Renfrew-Collingwood,497613.42,5455593.79
Theft from Vehicle,2003,01,23,18,03,11XX PACIFIC BLVD,Central Business District,491249.43,5457973.37
Theft of Vehicle,2003,01,29,13,10,5XX E 43RD AVE,Sunset,493171.87,5453139.69
Break and Enter Residential/Other,2003,06,13,00,30,5XX W 29TH AVE,South Cambie,491449.52,5454717.56
Break and Enter Residential/Other,2003,08,12,22,30,5XX W 29TH AVE,South Cambie,491449.52,5454717.56
Theft from Vehicle,2003,06,15,16,00,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Theft from Vehicle,2003,03,25,20,00,4XX KINGSWAY AVE,Mount Pleasant,492997.2,5456322.27
Break and Enter Commercial,2003,09,16,01,45,10XX BEACH AVE,Central Business District,490258.41,5458154.85
Theft from Vehicle,2003,08,25,18,30,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Theft from Vehicle,2003,05,01,13,00,4XX KINGSWAY AVE,Mount Pleasant,492997.2,5456322.27
Theft from Vehicle,2003,09,16,15,30,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Theft of Vehicle,2003,03,13,19,15,5XX E 31ST AVE,Riley Park,493154.5,5454430.42
Theft of Vehicle,2003,05,18,13,00,5XX E 30TH AVE,Riley Park,493156.49,5454533.85
Theft of Vehicle,2003,03,17,06,30,10XX E 12TH AVE,Mount Pleasant,493949.97,5456332.91
Theft from Vehicle,2003,10,04,23,00,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Theft from Vehicle,2003,05,01,07,30,40XX WELWYN ST,Kensington-Cedar Cottage,494917.52,5455172.55
Break and Enter Residential/Other,2003,10,28,21,00,69XX BUTLER ST,Killarney,497541.77,5451975.54
Theft from Vehicle,2003,03,30,10,40,SEYMOUR ST / W HASTINGS ST,Central Business District,491792.62,5459107.6
Theft from Vehicle,2003,09,12,22,30,E GEORGIA ST / VICTORIA DR,Grandview-Woodland,495227.72,5458404.8
Theft from Vehicle,2003,11,01,01,30,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Mischief,2003,11,07,18,00,24XX W KING EDWARD AVE,Arbutus Ridge,488363.01,5455191.34
Break and Enter Residential/Other,2003,09,06,21,20,18XX E 6TH AVE,Grandview-Woodland,495153.82,5456927.99
Break and Enter Residential/Other,2003,06,01,23,30,5XX W 29TH AVE,South Cambie,491467.89,5454716.76
Break and Enter Residential/Other,2003,09,09,09,00,18XX E 7TH AVE,Grandview-Woodland,495070.2,5456828.59
Theft from Vehicle,2003,11,08,19,00,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Mischief,2003,08,16,05,30,2XX HOWE ST,Central Business District,491753.96,5459362.02
Theft from Vehicle,2003,12,16,10,00,33XX GRANDVIEW HWY,Renfrew-Collingwood,497651.19,5456156.74
Theft from Vehicle,2003,07,19,13,30,4XX KINGSWAY AVE,Mount Pleasant,492997.2,5456322.27
Break and Enter Residential/Other,2003,05,26,18,00,8XX W 16TH AVE,South Cambie,491051.92,5456033.53
Theft of Vehicle,2003,06,22,23,00,5XX E 28TH AVE,Riley Park,493162.13,5454759.98
Theft of Vehicle,2003,11,09,18,00,5XX E 27TH AVE,Riley Park,493283.96,5454881.99
Break and Enter Residential/Other,2003,10,09,05,45,18XX E 7TH AVE,Grandview-Woodland,495088.21,5456828.44
Theft from Vehicle,2003,04,13,14,00,2XX E 15TH AVE,Mount Pleasant,492731.12,5456080.62
Theft from Vehicle,2003,11,06,09,40,DUNSMUIR ST / RICHARDS ST,Central Business District,491675.88,5458852.3
Theft from Vehicle,2003,07,18,00,00,2XX E 15TH AVE,Mount Pleasant,492731.12,5456080.62
Theft from Vehicle,2003,11,05,11,00,4XX KINGSWAY AVE,Mount Pleasant,492997.2,5456322.27
Theft of Vehicle,2003,07,07,03,00,10XX E 11TH AVE,Mount Pleasant,493943.02,5456421.33
Theft of Vehicle,2003,02,03,06,29,5XX E 27TH AVE,Riley Park,493164.58,5454874.22
Theft of Vehicle,2003,02,02,22,30,5XX E 27TH AVE,Riley Park,493164.58,5454874.22
Theft of Vehicle,2003,03,09,12,00,10XX E 10TH AVE,Mount Pleasant,493969.61,5456519.6
Theft from Vehicle,2003,12,28,18,30,6XX RICHARDS ST,Central Business District,491591.98,5458773.79
Break and Enter Residential/Other,2003,12,24,12,00,18XX E 7TH AVE,Grandview-Woodland,495149.98,5456827.94
Break and Enter Residential/Other,2003,05,02,13,33,18XX E 7TH AVE,Grandview-Woodland,495152.55,5456827.92
Theft from Vehicle,2003,07,12,10,00,2XX E 15TH AVE,Mount Pleasant,492771.89,5456079.73
Theft from Vehicle,2003,08,13,20,45,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Theft from Vehicle,2003,04,01,20,45,59XX BALSAM ST,Kerrisdale,488243.05,5453292.47
Theft from Vehicle,2003,07,25,22,00,40XX WILLOW ST,South Cambie,491104.68,5455262.79
Mischief,2003,03,14,12,00,8XX CAMBIE ST,Central Business District,491581.35,5458340.89
Theft of Vehicle,2003,01,09,18,00,5XX E 26TH AVE,Riley Park,493167.25,5454989.32
Theft of Vehicle,2003,03,13,19,30,10XX E 10TH AVE,Mount Pleasant,493943.92,5456519.86
Theft from Vehicle,2003,07,16,23,45,8X E 45TH AVE,Sunset,492419.33,5452960.85
Theft from Vehicle,2003,07,12,18,00,2XX E 15TH AVE,Mount Pleasant,492771.89,5456079.73
Theft from Vehicle,2003,08,15,08,20,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Other Theft,2003,02,08,15,30,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Mischief,2003,11,22,00,00,E 54TH AVE / TYNE ST,Killarney,497641.33,5451926.68
Theft from Vehicle,2003,07,05,09,00,8X E 30TH AVE,Riley Park,492436.98,5454507.83
Other Theft,2003,02,13,08,05,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Theft of Vehicle,2003,06,02,20,00,5XX E 18TH AVE,Riley Park,493245.26,5455766.36
Other Theft,2003,02,15,13,20,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Theft from Vehicle,2003,05,15,07,30,E HASTINGS ST / GORE AVE,Strathcona,492911.36,5458733.34
Break and Enter Residential/Other,2003,02,10,14,37,18XX E 8TH AVE,Grandview-Woodland,495126.16,5456718.4
Theft from Vehicle,2003,08,24,06,45,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Mischief,2003,06,10,02,05,9XX W PENDER ST,Central Business District,491487.1,5459266.93
Break and Enter Commercial,2003,04,08,04,45,10XX BURNABY ST,West End,490462.47,5458477.44
Offence Against a Person,2003,11,21,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,05,30,12,00,10XX DOUGLAS CRES,Shaughnessy,490726.4,5455742.28
Offence Against a Person,2003,05,12,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,09,12,15,30,53XX BAILLIE ST,South Cambie,491094.65,5453790.61
Theft from Vehicle,2003,06,17,22,00,6XX NELSON ST,Central Business District,491081.69,5458470.76
Break and Enter Residential/Other,2003,02,24,15,00,18XX E 8TH AVE,Grandview-Woodland,495142.89,5456718.16
Mischief,2003,10,18,19,00,15XX MAIN ST,Mount Pleasant,492685.24,5457614.82
Mischief,2003,03,02,00,20,32XX KINGSWAY AVE,Renfrew-Collingwood,497381.0,5453496.15
Theft from Vehicle,2003,04,18,18,30,41XX ATLIN ST,Renfrew-Collingwood,496668.28,5455007.08
Offence Against a Person,2003,02,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,05,12,09,20,18XX E 8TH AVE,Grandview-Woodland,495148.6,5456727.22
Offence Against a Person,2003,06,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,10,20,21,00,15XX LILLOOET ST,Hastings-Sunrise,497172.65,5457616.36
Theft from Vehicle,2003,06,28,05,51,33XX GRAVELEY ST,Hastings-Sunrise,497447.24,5457509.3
Theft from Vehicle,2003,09,05,01,00,41XX BLENHEIM ST,Dunbar-Southlands,487004.37,5455251.52
Theft of Vehicle,2003,02,06,17,00,5XX E 10TH AVE,Mount Pleasant,493323.07,5456526.41
Theft from Vehicle,2003,05,11,11,30,2XX E 17TH AVE,Riley Park,492632.93,5455879.87
Offence Against a Person,2003,11,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,04,15,17,45,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Break and Enter Residential/Other,2003,07,12,17,00,18XX E 8TH AVE,Grandview-Woodland,495194.94,5456717.42
Theft from Vehicle,2003,02,09,16,00,69XX MAIN ST,Sunset,492595.03,5452119.74
Break and Enter Residential/Other,2003,01,21,21,45,18XX E GEORGIA ST,Grandview-Woodland,495056.85,5458408.52
Theft of Vehicle,2003,02,13,18,00,5XX E 10TH AVE,Mount Pleasant,493239.27,5456527.31
Break and Enter Commercial,2003,06,21,20,30,10XX BURRARD ST,West End,490729.83,5458622.34
Break and Enter Residential/Other,2003,05,05,14,00,18XX E GEORGIA ST,Grandview-Woodland,495056.85,5458408.52
Break and Enter Residential/Other,2003,07,03,23,00,18XX E GEORGIA ST,Grandview-Woodland,495056.85,5458408.52
Theft from Vehicle,2003,03,28,10,00,5XX RICHARDS ST,Central Business District,491772.18,5458942.59
Break and Enter Residential/Other,2003,07,23,23,00,76XX MAIN ST,Sunset,492574.85,5451374.73
Offence Against a Person,2003,11,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,09,01,17,00,10XX DENMAN ST,West End,489919.42,5459627.69
Offence Against a Person,2003,10,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,02,17,18,30,10XX DENMAN ST,West End,489919.42,5459627.69
Break and Enter Residential/Other,2003,12,20,22,00,18XX E GEORGIA ST,Grandview-Woodland,495079.1,5458417.0
Offence Against a Person,2003,01,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,01,02,21,41,15XX KOOTENAY ST,Hastings-Sunrise,498032.54,5457544.06
Theft from Vehicle,2003,09,17,09,00,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Theft of Vehicle,2003,02,03,20,50,10XX DENMAN ST,West End,489919.42,5459627.69
Theft of Vehicle,2003,11,03,10,00,10XX DENMAN ST,West End,489875.11,5459583.55
Break and Enter Residential/Other,2003,03,13,16,00,18XX E GEORGIA ST,Grandview-Woodland,495093.75,5458416.57
Mischief,2003,11,05,17,00,15XX KITCHENER ST,Grandview-Woodland,494725.22,5457717.95
Theft from Vehicle,2003,09,01,18,00,2XX E 17TH AVE,Riley Park,492682.83,5455878.97
Theft of Vehicle,2003,09,02,11,00,10XX DENMAN ST,West End,489875.11,5459583.55
Break and Enter Residential/Other,2003,08,26,00,00,33XX VANNESS AVE,Renfrew-Collingwood,497495.4,5454056.54
Mischief,2003,05,13,01,36,2XX HOWE ST,Central Business District,491782.8,5459400.34
Theft of Vehicle,2003,07,11,22,00,5XX DUNSMUIR ST,Central Business District,491669.23,5458852.51
Theft of Vehicle,2003,06,21,12,00,5XX DUNSMUIR ST,Central Business District,491669.23,5458852.51
Other Theft,2003,05,27,10,19,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Theft from Vehicle,2003,01,05,19,00,2XX E 17TH AVE,Riley Park,492792.97,5455885.89
Break and Enter Residential/Other,2003,09,13,08,15,18XX E GEORGIA ST,Grandview-Woodland,495104.47,5458407.1
Theft from Vehicle,2003,07,19,10,00,10XX HARWOOD ST,West End,490370.04,5458403.21
Mischief,2003,08,08,15,30,8XX W 41ST AVE,South Cambie,490955.82,5453466.88
Theft of Vehicle,2003,05,23,17,00,5XX DRAKE ST,Central Business District,490821.71,5458034.83
Mischief,2003,04,13,17,00,15XX KINGSWAY AVE,Kensington-Cedar Cottage,494772.63,5455051.86
Theft from Vehicle,2003,10,05,00,00,2XX E 18TH AVE,Riley Park,492650.8,5455780.17
Mischief,2003,11,10,11,36,3XX E BROADWAY AVE,Mount Pleasant,492933.9,5456669.39
Offence Against a Person,2003,01,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,04,08,20,46,3XX E BROADWAY AVE,Mount Pleasant,492933.9,5456669.39
Mischief,2003,08,04,12,45,15XX JOHNSTON ST,Fairview,490201.05,5457659.71
Mischief,2003,08,04,18,17,5XX E 59TH AVE,Sunset,493151.87,5451531.93
Break and Enter Residential/Other,2003,06,09,17,30,18XX E GEORGIA ST,Grandview-Woodland,495141.1,5458406.0
Theft from Vehicle,2003,02,21,18,00,8X E 13TH AVE,Mount Pleasant,492475.07,5456286.19
Mischief,2003,04,17,16,15,53XX CECIL ST,Renfrew-Collingwood,497436.7,5453720.63
Mischief,2003,03,23,22,30,24XX YALE ST,Hastings-Sunrise,496003.67,5459773.07
Mischief,2003,06,26,15,00,15XX JOHNSTON ST,Fairview,490201.05,5457659.71
Theft from Vehicle,2003,12,02,15,30,72XX SHERBROOKE ST,Sunset,494063.02,5451791.74
Mischief,2003,06,24,15,00,4XX E HASTINGS ST,Strathcona,493150.41,5458730.8
Theft of Vehicle,2003,06,13,18,00,5XX DENMAN ST,Central Business District,490353.01,5460067.16
Offence Against a Person,2003,08,26,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,08,03,15,00,E HASTINGS ST / GORE AVE,Strathcona,492911.36,5458733.34
Break and Enter Residential/Other,2003,09,27,09,00,33XX VANNESS AVE,Renfrew-Collingwood,497517.85,5454053.24
Theft from Vehicle,2003,06,02,17,00,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Mischief,2003,03,09,17,10,6XX GRANVILLE ST,Central Business District,491532.47,5458983.59
Theft from Vehicle,2003,06,02,19,00,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Theft of Vehicle,2003,12,05,17,30,10XX DAVIE ST,West End,490593.56,5458492.35
Offence Against a Person,2003,08,15,,,OFFSET TO PROTECT PRIVACY,,0,0
